Date,Name / Description,Expense/Income,Amount (EUR)
2023-12-30,Belastingdienst,Expense,9.96
2023-12-30,Tesco Breda,Expense,17.53
2023-12-30,Monthly Appartment Rent,Expense,451.0
2023-12-30,Vishandel Sier Amsterdam,Expense,12.46
2023-12-29,Selling Paintings,Income,13.63
2023-12-29,Spotify Ab By Adyen,Expense,12.19
2023-12-23,Tk Maxx Amsterdam Da,Expense,27.08
2023-12-22,Consulting,Income,541.57
2023-12-22,Aidsfonds,Expense,10.7
2023-12-20,Consulting,Income,2641.93
2023-12-19,Tls Bv Inz Ov-Chipkaart,Expense,18.9
2023-12-18,Etos Amsterdam,Expense,17.67
2023-12-18,Tesco Breda,Expense,8.809999999999999
2023-12-18,Beta Boulders Ams Amsterdam,Expense,6.9399999999999995
2022-11-26,Salary,Income,14.36
2022-11-26,Bouldermuur Bv Amsterdam,Expense,19.27
2022-11-26,Birtat Restaurant Amsterdam,Expense,24.71
2022-11-25,Tesco Breda,Expense,17.35
2022-11-24,Freelancing,Income,2409.55
2022-11-19,Tikkie,Expense,20.76
2022-10-25,Blogging,Income,4044.27
2022-10-24,Taxi Utrecht,Expense,18.9
2022-10-23,Tesco Breda,Expense,27.54
2022-10-22,Apple Services,Expense,41.25
2022-10-21,Tesco Breda,Expense,22.8
2022-01-16,Amazon Lux,Expense,24.11
2022-01-15,Classpass* Monthly,Expense,30.08
2022-01-14,Audible Uk AdblCo/Pymt Gbr,Expense,11.0
2024-01-01, Consulting, Income, 1983.10
2024-01-02, Monthly Apartment Rent, Expense, 451.49
2024-01-02, Etos Amsterdam, Expense, 17.30
2024-01-04, Tls Bv Inz Ov-Chipkaart, Expense, 15.46
2024-01-04, Tls Bv Inz Ov-Chipkaart, Expense, 16.79
2024-01-04, Beta Boulders Ams Amsterdam, Expense, 9.87
2024-01-08, Spotify Ab By Adyen, Expense, 12.53
2024-01-11, Tk Maxx Amsterdam Da, Expense, 22.78
2024-01-14, Beta Boulders Ams Amsterdam, Expense, 5.39
2024-01-14, Tesco Breda, Expense, 14.41
2024-02-19,Tls Bv Inz Ov-Chipkaart,Expense,18.9
2024-02-18,Etos Amsterdam,Expense,17.67
2024-02-18,Tesco Breda,Expense,8.809999999999999
2024-02-18,Beta Boulders Ams Amsterdam,Expense,6.9399999999999995
2024-02-26,Salary,Income,14.36
2024-02-26,Bouldermuur Bv Amsterdam,Expense,19.27
2024-02-26,Birtat Restaurant Amsterdam,Expense,24.71
2024-02-25,Tesco Breda,Expense,17.35
2024-02-24,Freelancing,Income,2409.55
2024-02-19,Tikkie,Expense,20.76
2024-02-25,Blogging,Income,4044.27
